tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt1825683,Black Panther,2018,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm1569276"", ""nm0430107"", ""nm2143282""]",134,7.3,English,United States,907405,200.0,1350.0,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
tt0469494,There Will Be Blood,2007,"[""Drama""]","[""nm0000358"", ""nm0200452"", ""nm0001354""]",158,8.2,English,United States,700517,25.0,76.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
tt0372784,Batman Begins,2005,"[""Action"", ""Crime"", ""Drama""]","[""nm0000288"", ""nm0000323"", ""nm0913822""]",140,8.2,English,United States,1709629,150.0,375.4,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
tt0848228,The Avengers,2012,"[""Action"", ""Sci-Fi""]","[""nm0000375"", ""nm0262635"", ""nm0424060""]",143,8.0,English,United States,1555308,220.0,1520.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
tt1745960,Top Gun: Maverick,2022,"[""Action"", ""Drama""]","[""nm0000129"", ""nm0000124"", ""nm1886602""]",130,8.2,English,United States,855273,170.0,1496.0,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
tt9362722,Spider-Man: Across the Spider-Verse,2023,"[""Animation"", ""Action"", ""Adventure""]","[""nm4271336"", ""nm2794962"", ""nm3109964""]",140,8.5,English,United States,509515,,381.59,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
tt15398776,Oppenheimer,2023,"[""Biography"", ""Drama"", ""History""]","[""nm0614165"", ""nm1289434"", ""nm0000354""]",180,8.2,English,United States,1021585,100.0,975.8,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
tt1517268,Barbie,2023,"[""Adventure"", ""Comedy"", ""Fantasy""]","[""nm3053338"", ""nm0331516"", ""nm4793987""]",114,6.8,English,United States,667737,128.0,1400.0,"Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans."
tt6718170,The Super Mario Bros. Movie,2023,"[""Animation"", ""Adventure"", ""Comedy""]","[""nm0695435"", ""nm5896355"", ""nm0206359""]",92,7.0,English,United States,292599,100.0,1360.0,"Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser."
tt15239678,Dune: Part Two,2024,"[""Action"", ""Adventure"", ""Drama""]","[""nm3154303"", ""nm3918035"", ""nm0272581""]",166,8.4,English,United States,734902,,282.14,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu..."
